	Word	PoS	FrCo		LogLike	FrTO
	direction	NoC	15	-	127.9	58
	roll	NoC	41	+	127.8	8
	corporate	Adj	0	-	127.6	21
	um	Int	7	-	127.5	41
	ding	Uncl	19	+	127.4	0
	small	Adj	155	-	127.3	258
	overall	Adj	5	-	127.2	36
	bid	Verb	3	-	126.7	31
	banana	NoC	23	+	126.5	1
	marmalade	NoC	21	+	126.5	1
	Walsall	NoP	0	-	126.5	22
	sections	NoC	2	-	126.4	28
	conclusion	NoC	5	-	126.3	36
	membership	NoC	12	-	126.3	52
	keep	Verb	539	+	126.2	387
	till	Conj	98	+	126.2	40
	auditors	NoC	0	-	126.1	20
	workforce	NoC	0	-	126.1	20
	values	NoC	1	-	126.1	25
	vital	Adj	2	-	126.1	27
	coke	NoC	37	+	126.0	6
	working	Adj	11	-	126.0	50
	standing	NoC	9	-	126.0	46
	suspect	Verb	7	-	125.9	40
	pupils	NoC	3	-	125.8	32
	democratic	Adj	0	-	125.6	21
	Carl	NoP	30	+	125.5	4
	suggestions	NoC	3	-	125.2	30
	same	DetP	545	-	125.1	723
	low	Adj	52	-	125.0	117
	staying	Verb	59	+	124.9	17
	beautiful	Adj	105	+	124.8	45
	appears	Verb	4	-	124.5	34
	includes	Verb	2	-	124.5	29
	parliamentary	Adj	0	-	124.5	22
	argument	NoC	25	-	124.3	74
	details	NoC	18	-	124.2	62
	proposing	Verb	1	-	124.0	26
	parts	NoC	32	-	123.9	85
	pen	NoC	61	+	123.7	19
	amongst	Prep	9	-	123.6	45
	nah	Int	24	+	123.6	2
	expansion	NoC	0	-	123.5	21
	differentiate	Verb	1	-	123.5	24
	medical	Adj	12	-	123.3	51
	in general	Adv	5	-	123.2	36
	motions	NoC	1	-	123.2	23
	cell	NoC	3	-	123.1	30
	probably	Adv	686	+	123.1	515
	once again	Adv	3	-	123.1	31
	slightly	Adv	41	-	123.1	99
	Tuesday	NoP	122	+	123.0	57
	news	NoC	71	-	122.7	143
	Bev	NoP	16	+	122.5	0
	express	Verb	1	-	122.5	24
	senior	Adj	8	-	122.5	42
	magistrates	NoC	0	-	122.5	21
	females	NoC	0	-	122.4	22
	largely	Adv	0	-	122.4	22
	meal	NoC	69	+	122.4	23
	communities	NoC	1	-	122.2	23
	calcium	NoC	1	-	122.2	25
	competitive	Adj	1	-	122.1	25
	institutions	NoC	0	-	122.0	19
	Mayor	NoP	0	-	122.0	19			
	sandwiches	NoC	32	+	121.9	5
	shown	Verb	15	-	121.7	57
	consequences	NoC	1	-	121.5	24
	summary	NoC	1	-	121.5	24
	profits	NoC	4	-	121.3	31
	increasingly	Adv	1	-	121.2	23
	enterprise	NoC	1	-	121.2	24
	link	NoC	5	-	120.8	34
	out	Prep	71	+	120.8	25
	straight	Adv	136	+	120.7	67
	wet	Adj	57	+	120.6	17
	elderly	Adj	7	-	120.5	40
	conferences	NoC	1	-	120.5	23
	graph	NoC	4	-	120.4	31
	adopted	Verb	2	-	120.3	26
	swear	Verb	37	+	120.2	7
	ginger	Adj	17	+	120.2	0
	issued	Verb	1	-	120.2	25
	Bicester	NoP	0	-	119.9	19
	caused	Verb	9	-	119.8	43
	walk	NoC	56	+	119.8	17
	types	NoC	14	-	119.8	53
	aid	NoC	9	-	119.7	45
	appear	Verb	10	-	119.7	45
	type	NoC	74	-	119.6	147
	aah	Int	19	+	119.6	1
	written	Verb	55	-	119.5	120
	Pam	NoP	32	+	119.4	5
	constitution	NoC	0	-	119.4	20
	seconder	NoC	0	-	119.4	20
	locally	Adv	2	-	119.3	27
	advantage	NoC	11	-	119.3	49
	developments	NoC	1	-	119.2	22
	ultimately	Adv	1	-	119.2	22
	others	NoC	81	-	119.2	157
	Neil	NoP	60	+	118.8	19
	description	NoC	4	-	118.8	32
	about	Adv	842	+	118.6	654
	stress	NoC	5	-	118.6	35
	plate	NoC	52	+	118.5	14
	define	Verb	2	-	118.4	25
	Ryan	NoP	19	+	118.0	0
	Glasgow	NoP	2	-	118.0	28
	tin	NoC	47	+	117.8	12
	productivity	NoC	0	-	117.8	18
	sum	NoC	11	-	117.8	48
	processes	NoC	0	-	117.4	20
	less	DetP	36	-	117.3	90
	sectors	NoC	1	-	117.3	24	%%
	dish	NoC	29	+	117.2	4
	exercise	NoC	18	-	117.2	60
	pick	Verb	224	+	117.2	134
	walking	Verb	109	+	117.1	50
	face	NoC	144	+	117.0	74
	angle	NoC	8	-	116.9	41
	businesses	NoC	5	-	116.9	34
	working	NoC	4	-	116.7	32
	functions	NoC	4	-	116.4	32
	pollution	NoC	0	-	116.4	21
	reflect	Verb	0	-	116.4	21
	James	NoP	94	+	116.2	40
	failure	NoC	2	-	116.1	27
	Inspector	NoC	5	-	116.1	33
	limited	Adj	5	-	116.0	34
	statements	NoC	4	-	116.0	31
	centres	NoC	3	-	115.8	29
	spreadsheet	NoC	0	-	115.7	18
	finished	Verb	206	+	115.3	120
	inflation	NoC	5	-	115.3	33
	operate	Verb	3	-	115.0	28
	getting	Verb	633	+	114.9	475
	Bobby	NoP	29	+	114.7	4
	folk	NoC	7	-	114.4	38
	sauce	NoC	25	+	114.4	2
	commitment	NoC	9	-	114.4	42
	regions	NoC	1	-	114.4	24
	guidelines	NoC	1	-	114.4	24
	wording	NoC	0	-	114.3	20
	carbonate	NoC	0	-	114.3	19
	expertise	NoC	1	-	114.2	21
	efforts	NoC	1	-	114.2	21
	firstly	Adv	3	-	114.1	28
	directors	NoC	2	-	114.1	25
	statistics	NoC	3	-	114.0	28
	cheaper	Adj	71	+	113.9	26
	eaten	Verb	35	+	113.7	6
	Stuart	NoP	51	+	113.7	14
	measures	NoC	2	-	113.6	26
	fractions	NoC	1	-	113.6	22
	hydrogen	NoC	1	-	113.6	22
	royal	Adj	15	-	113.6	54
	evaluation	NoC	0	-	113.6	18
	wash	NoC	28	+	113.5	3
	tut	Int	15	+	113.5	0
	sshh	Int	15	+	113.5	0
	jelly	NoC	21	+	113.5	1
	kiss	Verb	21	+	113.5	1
	Milton	NoP	1	-	113.4	24
	sub-committee	NoC	0	-	113.3	19
	average	Adj	11	-	113.2	47
	electricity	NoC	11	-	113.2	47
	arguments	NoC	3	-	113.2	29
	trading	NoC	3	-	113.2	29
	hoo	Int	16	+	113.1	0
	increasing	Verb	2	-	113.1	25
	offered	Verb	24	-	113.0	70
	Q / q	Lett	19	-	112.9	61
	ducks	NoC	26	+	112.9	3
	purpose	NoC	19	-	112.9	62
	Jan*	NoP	25	+	112.9	3
	sweetheart	NoC	19	+	112.7	1
	strawberry	NoC	19	+	112.7	1
	premium	NoC	2	-	112.7	26
	Notts	NoP	1	-	112.7	22
	matter	Verb	141	+	112.6	73
	awake	Adj	30	+	112.6	4
	recognition	NoC	1	-	112.4	23
	rail	NoC	8	-	112.4	39
	more	DetP	827	-	112.4	1032
	describe	Verb	7	-	112.2	37
	pocket	NoC	56	+	112.0	17
	needed	Verb	43	-	112.0	100
	ham	NoC	23	+	112.0	2
	months	NoC	154	-	111.9	249
	something	Pron	1433	+	111.7	1192
	ate	Verb	30	+	111.6	5
	developing	Verb	1	-	111.5	24
	parent	NoC	8	-	111.5	40
	chancellor	NoC	1	-	111.5	23
	advise	Verb	3	-	111.4	29
	elected	Verb	3	-	111.4	29
	times	Prep	9	-	111.3	42
	species	NoC	1	-	111.2	21
	Steven	NoP	45	+	111.2	11
	net	Adj	2	-	111.2	25
	Jo	NoP	30	+	111.2	4
	Arthur	NoP	48	+	111.0	13
	reasonable	Adj	28	-	110.8	75
	cut	Verb	217	+	110.8	130
	reaction	NoC	8	-	110.8	39
	build	Verb	31	-	110.8	81
	smells	Verb	22	+	110.8	2
	hour	NoC	249	+	110.7	156
	assistance	NoC	1	-	110.7	22
	software	NoC	2	-	110.6	26
	careers	NoC	1	-	110.5	23
	Lucy	NoP	37	+	110.4	8
	ground	NoC	46	-	110.3	104
	Wilson	NoP	2	-	110.3	25
	refers	Verb	1	-	110.3	21
	ratio	NoC	0	-	110.2	19
	owt	Pron	23	+	110.1	2
	and so forth	Adv	4	-	110.0	30
	faith	NoC	15	-	109.9	54
	sprouts	NoC	14	+	109.9	0
	confidence	NoC	9	-	109.8	42
	easter	NoC	52	+	109.7	15
	adequate	Adj	1	-	109.7	22
	equipment	NoC	15	-	109.7	54
	colleague	NoC	1	-	109.6	23
	an' all	Adv	18	+	109.3	1
	mechanism	NoC	0	-	109.3	20
	primarily	Adv	0	-	109.3	20
	woof	Uncl	20	+	109.3	1
	clothes	NoC	88	+	109.2	37
	stewards	NoC	0	-	109.2	19
	Billy	NoP	40	+	109.1	9
	claim	NoC	9	-	109.0	41
	keeps	Verb	76	+	108.6	30
	wages	NoC	19	-	108.6	61
	nope	Int	20	+	108.6	1
	Darwin	NoP	1	-	108.5	22
	lives	NoC	17	-	108.3	57
	whoops	Int	24	+	108.3	3
	pressures	NoC	1	-	108.3	20
	chuck	Verb	32	+	108.2	6
	think	Verb	3732	-	108.2	4145
	acceleration	NoC	0	-	108.1	18
	closure	NoC	0	-	108.1	18
	offer	Verb	18	-	108.1	58
	indication	NoC	2	-	108.1	25
	initial	Adj	2	-	108.1	25
	honestly	Adv	68	+	108.0	25
@@	na	Det	19	+	108.0	1	[[?]]
	approved	Verb	2	-	108.0	24
	emphasis	NoC	1	-	107.7	23
	ginger	NoC	18	+	107.6	1
	expected	Verb	14	-	107.5	50
	encourage	Verb	9	-	107.5	42
	mainly	Adv	16	-	107.4	54
	minor	Adj	7	-	107.3	36
	approved	Adj	0	-	107.3	19
	priority	NoC	7	-	107.2	37
	benefit	Verb	2	-	107.1	25
	methods	NoC	2	-	107.1	25
	surplus	NoC	0	-	107.1	18
	sir	NoC	98	-	107.0	174
	unable	Adj	2	-	107.0	24
	grant	NoC	13	-	106.9	49
	find	Verb	441	-	106.9	590
	danger	NoC	10	-	106.9	43
	trial	NoC	8	-	106.9	38
	design	NoC	14	-	106.8	50
	hunting	NoC	3	-	106.8	26
	indicated	Verb	1	-	106.8	21
	equation	NoC	1	-	106.7	23
	outside	Adv	95	+	106.7	43
	Paul	NoP	158	+	106.6	87
	exception	NoC	2	-	106.5	24
	bags	NoC	60	+	106.5	20
	plaintiffs	NoC	0	-	106.3	17
	prawn	NoC	14	+	106.3	0
	Shelley	NoP	14	+	106.3	0
	drug	NoC	4	-	106.3	31
	consumer	NoC	0	-	106.3	19
	amendments	NoC	1	-	106.3	20
	follow	Verb	30	-	106.1	77
	girls	NoC	135	+	106.1	70
	following	Verb	11	-	106.0	46
	feeling	NoC	27	-	106.0	72
	minimum	Adj	4	-	105.9	30
	Helen	NoP	42	+	105.8	11
	employee	NoC	1	-	105.7	23
	remains	Verb	1	-	105.6	22
	relating	Verb	2	-	105.6	24
	Derek	NoP	46	+	105.5	12
	everything	Pron	433	+	105.4	309
	Susan	NoP	33	+	105.3	6
	peas	NoC	23	+	105.3	2
	constraints	NoC	0	-	105.3	16
	considerations	NoC	0	-	105.3	16
	pub	NoC	72	+	105.2	28
	genes	NoC	0	-	105.1	18
	unlikely	Adj	3	-	105.0	27
	Pat	NoP	43	+	104.6	11
	quote	Verb	5	-	104.5	31
	original	Adj	20	-	104.4	61
	file	NoC	20	-	104.4	60
	vast	Adj	3	-	104.3	28
	pursue	Verb	1	-	104.3	20
	Mao	NoP	0	-	104.2	16
	Andrew	NoP	67	+	104.2	25
	feedback	NoC	2	-	104.2	23
	bodies	NoC	6	-	104.1	33
	bird	NoC	40	+	104.1	10
	note	Verb	3	-	104.1	26
	continuous	Adj	3	-	104.1	26
	active	Adj	7	-	104.0	36
	body	NoC	70	-	103.9	135
	hers	Pron	34	+	103.9	7
	notes	NoC	20	-	103.8	61
	Grant	NoP	24	+	103.8	3
	mushrooms	NoC	20	+	103.7	1
	Carole	NoP	19	+	103.6	1
	avoid	Verb	11	-	103.4	44
	stairs	NoC	58	+	103.4	19
	buildings	NoC	6	-	103.3	33
	maybe	Adv	236	-	103.3	345
	demands	NoC	0	-	103.2	19
	integrate	Verb	0	-	103.2	19
	alternative	Adj	3	-	103.2	26
	washed	Verb	37	+	103.1	8
	unemployed	Adj	9	-	102.9	40
	understood	Verb	6	-	102.9	34
	gives	Verb	61	-	102.8	122
	garlic	NoC	14	+	102.7	0
	begin	Verb	13	-	102.7	48
	hungry	Adj	37	+	102.6	8
	educational	Adj	3	-	102.5	27
	resource	NoC	2	-	102.5	24
	involve	Verb	4	-	102.5	29
	past	Adv	49	+	102.4	15
	output	NoC	3	-	102.4	27
	thingy	NoC	23	+	102.3	3
	armed	Adj	2	-	102.3	23
	indicate	Verb	3	-	102.3	26
	increases	NoC	0	-	102.2	19
	zero	Num	6	-	102.2	34
	telling	Verb	148	+	102.2	81
	tasks	NoC	0	-	102.2	16
	forest	NoC	11	-	102.0	43
	percentage	NoC	5	-	101.9	32
	as opposed to	Prep	5	-	101.9	32
	obvious	Adj	20	-	101.9	60
	personnel	NoC	1	-	101.9	20
	consultants	NoC	1	-	101.9	20
	point	Verb	13	-	101.8	47
	scientific	Adj	1	-	101.8	21
	forty	Num	314	-	101.7	438
	premises	NoC	3	-	101.6	27
	chocolates	NoC	20	+	101.6	1
	boots	NoC	38	+	101.6	9
	family	NoC	122	-	101.5	204
	targets	NoC	3	-	101.4	26
	responsibilities	NoC	3	-	101.3	25
	left	Verb	341	+	101.3	234
	significantly	Adv	1	-	101.3	19
	existence	NoC	1	-	101.3	19
	hiya	Int	20	+	101.2	2
	sod	NoC	20	+	101.2	2
	cuts	NoC	5	-	101.2	31
	background	NoC	17	-	101.1	54
	Curtis	NoP	0	-	101.1	16
	directed	Verb	0	-	101.0	17
	relates	Verb	0	-	101.0	17
	promote	Verb	1	-	101.0	22
	message	NoC	18	-	100.9	56
	returned	Verb	1	-	100.9	20
	earnings	NoC	1	-	100.8	21
	partly	Adv	7	-	100.7	36
	cooker	NoC	29	+	100.6	5
	challenge	NoC	3	-	100.6	26
	blah	Int	50	+	100.6	15
	throw	Verb	84	+	100.4	36
	traditional	Adj	6	-	100.4	34
	forced	Verb	6	-	100.4	34
	principles	NoC	1	-	100.3	19
	without	Prep	171	-	100.2	265
	reserves	Verb	0	-	100.1	16
	provides	Verb	1	-	100.0	22
