	Word	PoS	FrCo		LogLike	FrTO
	years	NoC	452	-	676.9	877
	support	Verb	11	-	673.0	149
	basis	NoC	11	-	672.1	151
	or	Conj	2800	-	670.7	3738
	perhaps	Adv	247	-	668.9	579
	figures	NoC	17	-	666.0	167
	social	Adj	22	-	665.5	179
	congress	NoC	0	-	659.3	105
	bag	NoC	191	+	655.4	32
	president	NoC	5	-	655.2	125
	urgh	Int	104	+	650.9	3
	schools	NoC	24	-	649.0	182
	me	Det	362	+	648.3	122
	a bit	Adv	711	+	647.4	349
	available	Adj	18	-	640.7	163
	authorities	NoC	4	-	634.2	118
	simply	Adv	15	-	631.9	154
	bye	Int	264	+	629.9	69
	buy	Verb	415	+	626.8	156
	client	NoC	2	-	624.0	110
	big	Adj	772	+	623.8	397
	M / m	Lett	104	-	621.1	336
	hey	Int	151	+	620.3	19
	figure	NoC	15	-	618.1	152
	reckon	Verb	178	+	616.2	30
	period	NoC	23	-	616.1	171
	various	Adj	18	-	611.2	158
	Greater	NoP-	1	-	610.9	104
	Oxford	NoP	14	-	608.8	146
	doo	Uncl	96	+	608.6	3
	provide	Verb	12	-	600.2	140
	sort	NoC	473	-	599.4	875
	things	NoC	805	-	594.7	1308
	education	NoC	27	-	589.9	176
	world	NoC	112	-	586.9	341
	political	Adj	5	-	586.2	116
	decision	NoC	17	-	585.8	152
	agreed	Verb	11	-	585.3	135
	sit	Verb	342	+	584.7	119
	staff	NoC	40	-	582.4	205
	one	Num	2540	-	581.9	3372
	department	NoC	14	-	581.0	144
	process	NoC	8	-	578.8	125
	European	Adj	5	-	577.7	114
	future	NoC	19	-	576.9	154
	d'	Verb	145	+	575.8	19
	cost	NoC	27	-	575.2	175
	secretary	NoC	17	-	574.3	150
	clear	Adj	42	-	573.2	207
	labour*	Adj	29	-	572.1	178
	business	NoC	98	-	570.6	312
	bloke	NoC	140	+	570.1	18
	pound	NoC	490	+	568.5	215
	support	NoC	22	-	566.1	161
	forward	Adv	50	-	561.4	221
	here	Adv	2003	+	561.0	1391
	mean	Verb	2675	+	560.0	1960
	da	NoC	81	+	558.3	1
	about	Prep	2274	-	552.1	3042
	item	NoC	5	-	547.8	110
	A / a	Lett	235	-	541.2	521
	housing	NoC	10	-	540.3	124
	children	NoC	206	-	539.6	477
	statement	NoC	8	-	539.4	118
	provision	NoC	1	-	539.3	90
	however	Adv	16	-	538.8	140
	needs	NoC	7	-	538.3	114
	product	NoC	2	-	536.4	97
	scheme	NoC	10	-	536.2	124
	agree	Verb	47	-	534.5	210
	year	NoC	562	-	534.1	967
	G / g	Lett	72	-	532.9	257
	tell	Verb	894	+	530.4	514
	financial	Adj	11	-	529.8	125
	employment	NoC	5	-	529.6	106
	aware	Adj	14	-	527.6	134
	industry	NoC	10	-	527.5	123
	greenbelt	NoC	0	-	526.7	86
	during	Prep	53	-	526.0	220
	effect	NoC	16	-	521.8	136
	evidence	NoC	13	-	518.5	129
	debate	NoC	2	-	513.2	93
	power	NoC	40	-	511.2	191
	certain	Adj	66	-	509.3	240
	police	NoC	77	-	507.9	260
	country	NoC	90	-	507.0	283
	like	Verb	1349	+	506.9	879
	chicken	NoC	99	+	506.4	7
	birthday	NoC	150	+	504.2	26
	member	NoC	15	-	502.9	132
	upstairs	Adv	129	+	499.8	18
	coat	NoC	108	+	498.9	10
	possible	Adj	52	-	496.2	212
	based	Verb	13	-	494.9	124
	British	Adj	48	-	494.4	204
	terms	NoC	12	-	494.3	120
	policies	NoC	4	-	493.6	94
	cold	Adj	197	+	493.5	50
	proposals	NoC	0	-	492.5	80
	other	Adj	1016	-	491.9	1517
	men	NoC	105	-	491.5	304
	Jean	NoP	106	+	491.3	10
	become	Verb	29	-	491.1	163
	reasons	NoC	11	-	491.0	118
	action	NoC	18	-	489.3	136
	further*	Adj	6	-	487.5	102
	given	Verb	106	-	485.6	305
	those	DetP	848	-	485.1	1307
	role	NoC	7	-	485.1	106
	result	NoC	11	-	484.6	117
	environment	NoC	9	-	484.4	112
	obviously	Adv	160	-	482.8	389
	public	NoC	8	-	482.7	106
	safety	NoC	8	-	479.3	108
	hm	Int	91	+	477.7	6
	interest	NoC	45	-	474.6	193
	so that	Conj	113	-	473.1	312
	us	Pron	798	-	472.8	1237
